Engine rpm,Lub oil pressure,Fuel pressure,Coolant pressure,lub oil temp,Coolant temp
552,1.920278603,6.84884516,1.69252761,78.618549,78.87764616
666,2.260867173,4.796043284,1.536316658,77.68994704,69.7904148
1153,2.981055892,7.736716272,1.826201304,76.99027529,87.33618533
972,5.02106599,4.704674741,1.060174543,76.2090767,69.75102602
531,2.972161405,7.40951659,1.299469769,76.22346763,67.47133678
680,3.945065767,1.35904397,1.80292021,78.35538329,77.95305854
905,2.396115297,6.321754966,1.047347513,75.90412268,86.54992855
874,2.707494128,7.566030691,2.025856899,75.23421848,71.24147064
1062,3.175405936,5.861243929,2.188356705,77.07187406,83.65124879
721,2.073110791,2.034095497,1.171941958,76.75629483,82.77191048
629,1.460540258,3.976345472,2.577339026,76.86903925,73.43584389
836,3.268768412,4.624212528,0.998205316,75.91002603,73.89714826
826,3.715460665,11.30668006,1.731783742,77.54695335,82.09605731
872,2.208564187,6.479354416,3.178273448,76.93227171,72.04843235
619,2.110005323,2.900864827,2.133385036,76.79202383,81.17253497
416,2.380873349,6.680983624,1.468115988,76.72167992,73.52196224
863,2.927154681,9.281064537,1.031503735,75.85234473,69.52528789
576,3.673601664,7.856399123,2.241272103,77.51247321,70.90585913
519,5.225650092,8.357601126,2.418808963,80.05657383,69.34406582
391,3.932751774,5.580927019,2.254643489,77.1755061,69.79046081
563,4.795439464,7.62411736,1.687048035,76.92705094,71.5168824
1410,3.056365584,6.106959082,1.234190959,76.69443814,84.71609734
949,2.868227721,5.773428683,2.672250879,76.51790762,66.92498967
733,3.52925596,4.225828905,2.395546058,76.60517261,73.91475538
652,2.827242349,9.128965454,3.034325133,77.59292989,85.86454128
818,4.407817605,9.985428558,2.807623528,79.57211653,75.18762608
638,2.885245922,2.938065629,3.77878732,77.10775583,79.03900535
519,4.883594709,9.520376077,3.509034913,76.00114063,71.61068157
665,2.141618057,6.815386218,1.354210322,80.32336283,86.87306582
534,3.432264363,8.423001804,1.56603702,74.82346927,71.78337221
755,4.591868869,3.731687892,1.624101277,78.87158299,85.84214129
1000,3.296396721,3.809594953,2.263667878,75.61763641,89.73362683
733,4.943801407,7.586769108,1.351348101,76.13499223,82.28280503
1103,2.390048963,6.949360525,1.959646066,75.65257926,79.26419148
862,3.025410304,4.462318553,1.824859725,75.90760598,63.61718586
700,2.213981457,5.039218618,2.813064396,77.21176325,80.71309679
1185,3.102049828,5.352747304,2.375922236,75.11426836,72.78635147
865,2.460059577,5.868917095,1.68032062,76.63649295,79.74671565
625,2.984784621,7.627728857,1.617953537,75.91531157,75.59416349
388,1.905274918,5.699228517,1.219963895,77.471106,72.96645359
526,2.288246737,6.167366013,2.541575153,77.37372372,82.58759314
1124,4.15018301,7.192508903,2.493105569,75.86091993,63.73238066
511,4.129209177,4.654153767,3.55993662,76.52443672,79.72620683
861,2.385422313,3.257420964,1.06952001,75.00655527,77.4737923
811,2.553736414,5.195216588,1.983698546,76.18741534,68.56697114
